""	"date"	"site"	"depth"	"depthtype"	"Library"	"Sequences"	"depth_m"	"monthyear"	"yearmonth"	"prehurricane"	"disease"	"disturbance"	"temp"	"salinity"	"npoc"	"tn"	"po4"	"no2no3"	"silicate"	"no2"	"nh4"	"Chl"	"Phaeo"	"pro"	"syn"	"peuk"	"hbact"	"BleachCoral"	"CCA"	"CYAN"	"DiseasedCoral"	"HardCoral"	"Macroalgae"	"Other"	"Ramicrusta"	"SoftCoral"	"Sponge"	"Substrate"	"TurfAlgae"	"is.neg"
"841"	"8/8/20"	"Ram Head"	"Benthic"	"benthic"	"F2"	" 50251"	" 9.20"	"2020August"	"2020-08"	"No"	"Yes"	"disease"	"29.57000"	"35.95000"	" 78.200"	" 8.400"	"0.0611"	" 0.1389"	" 1.6171"	" 0.0314"	" 0.5491"	"0.21624603"	"0.10272753"	" 34337"	" 71208"	"  604"	" 739186"	"0.00"	"0.05000000"	"0.02500000"	"0.02000000"	"0.13500000"	"0.38250000"	"0.02000000"	"0.12500000"	"0.07250000"	"0.04333333"	"0.1350000"	"0.05333333"	"FALSE"
"356"	"7/26/17"	"Sand patch"	"Benthic"	"benthic"	"F2"	" 56224"	" 9.50"	"2017July"	"2017-07"	"Yes"	"No"	"historic"	"29.08000"	"34.89000"	" 74.245"	" 7.770"	"0.1688"	" 0.1842"	" 1.9775"	" 0.0299"	" 0.0186"	"0.18979243"	"0.09726757"	" 71606"	" 52594"	" 2306"	" 718088"	"0.00"	"0.00000000"	"0.00000000"	"0.00000000"	"0.00000000"	"0.12333333"	"0.00000000"	"0.00000000"	"0.00000000"	"0.00000000"	"0.8766667"	"0.00000000"	"FALSE"
"241"	"3/25/17"	"Tektite"	"Benthic"	"benthic"	"G2"	" 51991"	" 6.82"	"2017March"	"2017-03"	"Yes"	"No"	"historic"	"26.53000"	"36.63000"	" 67.332"	" 5.500"	"0.1815"	" 0.2818"	" 1.3691"	" 0.0347"	" 0.1457"	"0.21774438"	"0.12358629"	" 26227"	" 61973"	" 1533"	" 612408"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"949"	"1/23/21"	"Tektite"	"Surface"	"surface"	"F2"	" 54488"	" 0.50"	"2021January"	"2021-01"	"No"	"Yes"	"disease"	"26.86000"	"35.81000"	" 74.800"	" 6.900"	"0.0700"	" 0.1244"	" 2.4264"	" 0.0323"	" 0.7767"	NA	NA	" 19539"	" 49030"	"  762"	" 548041"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"USVI177"	"10/29/16"	"Yawzi"	"Benthic"	"benthic"	"L2"	" 53436"	"11.25"	"2016October"	"2016-10"	"Yes"	"No"	"historic"	"29.53000"	"35.75000"	"109.683"	" 7.047"	"0.2057"	" 0.8269"	" 1.8878"	" 0.1057"	" 0.3247"	"0.36300000"	NA	"     0"	" 49584"	" 2602"	" 434208"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"909"	"1/18/21"	"Booby Rock"	"Benthic"	"benthic"	"G2"	" 47579"	" 7.50"	"2021January"	"2021-01"	"No"	"Yes"	"disease"	"26.65000"	"35.67000"	" 75.400"	" 6.200"	"0.0700"	" 0.1147"	" 1.9959"	" 0.0169"	" 1.2034"	"0.44666203"	"0.16478372"	" 21233"	" 72206"	" 1287"	" 825062"	"0.00"	"0.05000000"	"0.00000000"	"0.06000000"	"0.16000000"	"0.02500000"	"0.08000000"	"0.06000000"	"0.24000000"	"0.10250000"	"0.0600000"	"0.32500000"	"FALSE"
"286"	"3/27/17"	"Cocoloba"	"Benthic"	"benthic"	"H2"	" 59211"	" 7.01"	"2017March"	"2017-03"	"Yes"	"No"	"historic"	"26.57000"	"36.66000"	" 70.077"	" 6.416"	"0.1675"	" 0.2153"	" 1.1248"	" 0.0312"	" 0.1020"	"0.12418832"	"0.08596600"	" 19434"	" 64617"	" 2095"	" 456117"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FALSE"
"540"	"4/11/18"	"Yawzi"	"Benthic"	"benthic"	"H2"	" 44978"	"10.00"	"2018April"	"2018-04"	"No"	"No"	"hurricane"	"27.20000"	"36.49000"	" 73.632"	" 5.739"	"0.1844"	" 0.0700"	" 1.4228"	" 0.0184"	" 0.1994"	"0.33374586"	"0.22507094"	" 39698"	" 70411"	" 1223"	" 472008"	"0.00"	"0.07000000"	"0.00000000"	"0.00000000"	"0.18833333"	"0.26666667"	"0.02500000"	"0.04600000"	"0.10166667"	"0.03666667"	"0.2366667"	"0.06800000"	"FALSE"
"951"	"1/23/21"	"Tektite"	"Benthic"	"benthic"	"H2"	" 56545"	"10.00"	"2021January"	"2021-01"	"No"	"Yes"	"disease"	"26.72000"	"35.81000"	" 77.500"	" 7.800"	"0.0908"	" 0.4391"	" 1.5008"	" 0.0368"	" 0.2902"	"0.17786390"	"0.07740136"	" 16729"	" 48256"	"  670"	" 518365"	"0.00"	"0.02250000"	"0.18000000"	"0.04500000"	"0.28000000"	"0.30250000"	"0.01500000"	"0.03333333"	"0.03250000"	"0.05750000"	"0.0475000"	"0.04500000"	"FALSE"
"601"	"11/5/18"	"Ram Head"	"Benthic"	"benthic"	"F2"	" 48360"	"10.32"	"2018November"	"2018-11"	"No"	"No"	"hurricane"	"28.61000"	"33.16000"	" 82.088"	" 5.041"	"0.1536"	" 0.9788"	" 3.4386"	" 0.0106"	" 0.0658"	"0.15954307"	"0.13816250"	" 70805"	" 16819"	"  802"	" 709622"	"0.00"	"0.02000000"	"0.03600000"	"0.00000000"	"0.06000000"	"0.36000000"	"0.02200000"	"0.12666667"	"0.03333333"	"0.02000000"	"0.3933333"	"0.19000000"	"FALSE"
