	date	site	depth	depthtype	Library	Sequences	depth_m	monthyear	yearmonth	prehurricane	disease	disturbance	temp	salinity	npoc	tn	po4	no2no3	silicate	no2	nh4	Chl	Phaeo	pro	syn	peuk	hbact	BleachCoral	CCA	CYAN	DiseasedCoral	HardCoral	Macroalgae	Other	Ramicrusta	SoftCoral	Sponge	Substrate	TurfAlgae	is.neg
932	2021-01-19	Cocoloba	Surface	surface	G2	69302	0.5	2021January	2021-01	No	Yes	disease	26.81	35.81	75.4	9.3	0.0867	0.3821	1.0698	0.0467	0.9264	NA	NA	9796	37029	657	544443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
931	2021-01-19	Cocoloba	Benthic	benthic	F2	47423	7	2021January	2021-01	No	Yes	disease	26.74	35.81	72.7	7.5	0.0785	0.2399	0.5944	0.0138	0.4482	0.25382725	0.1154137	10045	37173	788	567291	0	0.01	0.02	0	0.1025	0.32	0.03	0.03333333	0.08	0.04	0.145	0.26	FALSE
866	2020-08-09	Dittlif	Benthic	benthic	F2	52780	8.5	2020August	2020-08	No	Yes	disease	29.49	35.73	72.1	7.5	0.0698	0.4371	2.3811	0.0592	0.2684	0.18112915	0.1403422	16676	14995	630	486536	0	0.04	0.06	0.075	0.1075	0.39	0.01666667	0.03666667	0.0675	0.04	0.1225	0.14	FALSE
246	2017-03-25	Ram Head	Surface	surface	F2	51441	0.5	2017March	2017-03	Yes	No	historic	26.52	36.88	70.722	5.966	0.1763	0.3152	1.2116	0.0172	0.1362	NA	NA	22148	55913	1223	493200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
338	2017-07-26	Yawzi	Surface	surface	F2	48456	0.5	2017July	2017-07	Yes	No	historic	29.3	35	73.399	7.335	0.1526	0.3152	1.8891	0.0114	0.0549	NA	NA	74475	53114	1941	644653	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
928	2021-01-19	Dittlif	Surface	surface	F2	45810	0.5	2021January	2021-01	No	Yes	disease	26.84	35.79	69.9	8.1	0.0744	0.2705	0.6654	0.0336	0.5011	NA	NA	3821	15547	368	492130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
642	2018-11-06	Europa	Surface	surface	G2	66742	0.5	2018November	2018-11	No	No	hurricane	28.52	33.07	85.505	5.327	0.156	0.3597	3.1322	0.0365	0.2059	NA	NA	94767	79327	2222	922205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
953	2021-01-24	Yawzi	Benthic	benthic	G2	54256	7	2021January	2021-01	No	Yes	disease	26.79	35.74	83.2	5.9	0.0742	0.1038	0.3636	0.0217	3.9467	0.27662242	0.11327566	19053	59693	1169	676946	0	0.0275	0.01	0.1275	0.1375	0.1275	0.07333333	0.025	0.0325	0.1325	0.13	0.28	FALSE
USVI65	2016-06-11	Dittlif	Surface	surface	L2	50696	0.5	2016June	2016-06	Yes	No	historic	28.66	36.43	82.128	6.325	0.0259	0.2054	1.2244	0.0299	0.0482	0.132	NA	41442	30375	984	545963	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
596	2018-04-13	Joels Shoal	Surface	surface	F2	56528	0.5	2018April	2018-04	No	No	hurricane	27.2	36.52	76.547	6.218	0.1771	0.0413	1.2645	0.0259	0.0743	NA	NA	28997	86414	1378	569236	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
511	2017-11-30	Tektite	Surface	surface	H2	56061	0.5	2017November	2017-11	No	No	hurricane	NA	NA	77.748	6.517	0.1543	0.0377	2.3463	0.0155	0.1018	NA	NA	49936	46856	914	616022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
1150	2022-06-27	Tektite	Benthic	benthic	H2	45557	9.8	2022June	2022-06	No	Yes	disease	NA	NA	73.9	5.1	0.08	0.1	0.8	0.01	0.36	0.26892135	0.1389097	NA	NA	NA	NA	0.01	0.015	0.01	0	0.245	0.08666667	0.02	0.135	0.09	0.04	0.1675	0.34	FALSE
535	2018-04-11	Booby Rock	Benthic	benthic	F2	50912	9.8	2018April	2018-04	No	No	hurricane	27.18	36.45	72.872	7.161	0.1673	0.0791	1.4227	0.0324	0.1888	0.20472566	0.08783022	67191	61355	1209	519131	0	0.08	0	0.01	0.12666667	0.33833333	0.0225	0.082	0.13333333	0.0225	0.1716667	0.1725	FALSE
264	2017-03-26	Sand patch	Benthic	benthic	H2	47475	8.55	2017March	2017-03	Yes	No	historic	26.41	36.69	79.907	5.518	0.1712	0.2336	1.1001	0.0176	0.197	0.21927599	0.15198802	11278	39980	1336	463711	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
490	2017-11-29	Yawzi	Benthic	benthic	F2	52531	5.24	2017November	2017-11	No	No	hurricane	28.2	34.8	76.813	7.923	0.1863	0.1155	2.319	0.0153	0.1461	0.68597137	0.2689177	56700	83377	1406	773705	0	0.03333333	0	0	0.12333333	0.295	0.0225	0	0.06	0.07833333	0.2716667	0.14	FALSE
541	2018-04-11	Tektite	Surface	surface	F2	58072	0.5	2018April	2018-04	No	No	hurricane	27.34	36.49	76.788	6.52	0.1917	0.0471	1.4231	0.0218	0.1504	NA	NA	44142	83714	1378	620184	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
USVI122	2016-10-28	Ram Head	Surface	surface	L2	58540	0.5	2016October	2016-10	Yes	No	historic	29.5	35.48	86.993	5.843	0.0353	0.1285	1.3205	0.0254	0.035	NA	NA	33103	109392	2222	768136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
376	2017-07-28	Europa	Benthic	benthic	H2	63372	8.69	2017July	2017-07	Yes	No	historic	29.24	35.14	73.85	8.395	0.1686	0.3835	1.9952	0.0289	0.0802	0.18238963	0.10432499	65067	24033	1673	546623	0	0.015	0.036	0	0.08833333	0.4	0.02666667	0.084	0.10166667	0.04166667	0.1733333	0.07666667	FALSE
864	2020-08-09	Europa	Surface	surface	G2	50201	0.5	2020August	2020-08	No	Yes	disease	29.43	35.82	75	11.2	0.0577	0.1666	1.8931	0.0346	0.2642	0.21039322	0.07673566	44474	43095	880	680662	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
349	2017-07-27	Tektite	Benthic	benthic	H2	65205	11.37	2017July	2017-07	Yes	No	historic	29.25	34.92	73.694	2.883	0.1634	0.2799	2.2285	0.0461	0.0477	0.20599091	0.1293533	100688	20306	1364	720352	0.01	0.042	0.085	0	0.26833333	0.30333333	0.016	0	0.015	0.164	0.122	0.11	FALSE
843	2020-08-08	Tektite	Benthic	benthic	H2	44405	13	2020August	2020-08	No	Yes	disease	29.4	35.79	77.5	7.7	0.0612	0.0975	1.8609	0.0151	0.4648	0.19231348	0.07749242	40285	24515	499	529815	0	0.034	0.05666667	0.01	0.24833333	0.36	0.01	0.10666667	0.02333333	0.025	0.08	0.09333333	FALSE
414	2017-07-29	Ram Head	Benthic	benthic	H2	58381	8.67	2017July	2017-07	Yes	No	historic	29.26	35	82.599	8.238	0.1662	0.225	10.0506	-0.0126	0.2068	0.13465435	0.09581551	76598	25172	1266	567028	0	0	0.03666667	0	0.075	0.22333333	0.05	0.25	0.08666667	0.05666667	0.3316667	0.11	FALSE
950	2021-01-23	Tektite	Surface	surface	G2	46708	0.5	2021January	2021-01	No	Yes	disease	26.86	35.81	74.8	6.9	0.07	0.1244	2.4264	0.0323	0.7767	NA	NA	19539	49030	762	548041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
622	2018-11-05	Booby Rock	Surface	surface	F2	52060	0.5	2018November	2018-11	No	No	hurricane	28.65	33.12	87.994	3.724	0.1509	0.8755	3.5985	0.0084	0.0456	NA	NA	90788	22430	984	884475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
1110	2022-06-25	Cocoloba	Surface	surface	G2	50186	0.5	2022June	2022-06	No	Yes	disease	NA	NA	76.2	6.5	0.08	0.2	0.6	0.02	0.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
USVI54	2016-06-11	Joels Shoal	Surface	surface	L2	60138	0.5	2016June	2016-06	Yes	No	historic	28.6	36.41	81.382	5.252	0.0193	0.0351	1.223	0.0131	0.1511	0.171	NA	71733	48600	1167	592861	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
538	2018-04-11	Booby Rock	Surface	surface	F2	53304	0.5	2018April	2018-04	No	No	hurricane	27.21	36.45	92.701	16.59	0.1693	-0.008	1.4238	0.0146	0.1094	NA	NA	43805	92264	1097	560770	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
1161	2022-06-29	Europa	Surface	surface	F2	68585	0.5	2022June	2022-06	No	Yes	disease	NA	NA	105.4	5	0.08	0	0.1	0	0.29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
445	2017-11-28	Cocoloba	Surface	surface	H2	57244	0.5	2017November	2017-11	No	No	hurricane	28.15	34.77	NA	NA	0.1617	0.3896	2.302	0.0331	0.0671	NA	NA	49219	36141	1013	558745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
USVI64	2016-06-11	Cocoloba	Surface	surface	L2	42313	0.5	2016June	2016-06	Yes	No	historic	28.65	36.44	73.486	4.644	0.0231	0.0435	1.0195	0.0228	0.1758	0.167	NA	41752	44423	928	584198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
